country,year,date,location,eleciontype,source,primary_debates_YesNo,vice_debates_YesNo
USA,2024,"September 10, 2024",Presidential Debate at ABC Studios,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0,YES,YES
USA,2024,"June 27, 2024","Presidential Debate in Atlanta, Georgia",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-1,YES,YES
USA,2020,"October 22, 2020","Presidential Debate at Belmont University in Nashville, Tennessee",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-2,YES,YES
USA,2020,"September 29, 2020","Presidential Debate in Cleveland, Ohio",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-3,YES,YES
USA,2016,"October 19, 2016",Presidential Debate at the University of Nevada in Las Vegas,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-4,YES,YES
USA,2016,"October 9, 2016	","Presidential Debate at Washington University in St. Louis, Missouri",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-5,YES,YES
USA,2016,"September 26, 2016","Presidential Debate at Hofstra University in Hempstead, New York",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-6,YES,YES
USA,2012,"October 22, 2012","Presidential Debate at Lynn University in Boca Raton, Florida",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-7,YES,YES
USA,2012,"October 16, 2012","Presidential Debate at Hofstra University in Hempstead, New York",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-8,YES,YES
USA,2012,"October 3, 2012",Presidential Debate at the University of Denver,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-9,YES,YES
USA,2008,"October 15, 2008","Presidential Debate in Hempstead, New York",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-10,YES,YES
USA,2008,"October 7, 2008","Presidential Debate in Nashville, Tennessee",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-11,YES,YES
USA,2008,"September 26, 2008","Presidential Debate in Oxford, Mississippi",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-12,YES,YES
USA,2004,"October 13, 2004","Presidential Debate in Tempe, Arizona",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-13,YES,YES
USA,2004,"October 8, 2004","Presidential Debate in St. Louis, Missouri",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-14,YES,YES
USA,2004,"September 30, 2004","Presidential Debate in Coral Gables, Florida",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-15,YES,YES
USA,2000,"October 17, 2000",Presidential Debate in St. Louis,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-16,YES,YES
USA,2000,"October 11, 2000","Presidential Debate in Winston-Salem, North Carolina",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-17,YES,YES
USA,2000,"October 3, 2000",Presidential Debate in Boston,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-18,YES,YES
USA,1996,"October 16, 1996",Presidential Debate in San Diego,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-19,NO,YES
USA,1996,"October 6, 1996",Presidential Debate in Hartford,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-20,NO,YES
USA,1992,"October 19, 1992","Presidential Debate in East Lansing, Michigan",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-21,NO,YES
USA,1992,"October 15, 1992","Presidential Debate in Richmond, Virginia",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-22,NO,YES
USA,1992,"October 11, 1992",Presidential Debate in St. Louis,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-23,NO,YES
USA,1988,"October 13, 1988",Presidential Debate in Los Angeles,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-24,NO,YES
USA,1988,"September 25, 1988","Presidential Debate in Winston-Salem, North Carolina",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-25,NO,YES
USA,1984,"October 21, 1984","Presidential Debate in Kansas City, Missouri",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-26,NO,YES
USA,1984,"October 7, 1984","Presidential Debate in Kansas City, Missouri",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-27,NO,YES
USA,1980,"October 28, 1980",Presidential Debate in Cleveland,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-28,NO,NO
USA,1980,"September 21, 1980",Presidential Debate in Baltimore (Reagan-Anderson),General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-29,NO,NO
USA,1976,"October 22, 1976","Presidential Campaign Debate in Williamsburg, Virginia",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-30,NO,YES
USA,1976,"October 6, 1976",Presidential Campaign Debate in San Francisco,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-31,NO,YES
USA,1976,"September 23, 1976",Presidential Campaign Debate in Philadelphia,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-32,NO,YES
USA,1960,"October 21, 1960",Presidential Debate in New York,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-33,NO,NO
USA,1960,"October 13, 1960",Presidential Debate Broadcast from New York and Los Angeles,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-34,NO,NO
USA,1960,"October 7, 1960","Presidential Debate in Washington, DC",General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-35,NO,NO
USA,1960,"September 26, 1960",Presidential Debate in Chicago,General Election,https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-35,NO,NO