"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"127","El Salvador",2004,1,20,"Base Qof p_durable",21,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",21,"21"
"128","El Salvador",2009,1,25,"Base Qof p_durable",26,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",26,"26"
"129","El Salvador",2014,2,30,"Base Qof p_durable",31,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",31,"31"
"130","El Salvador",2014,1,30,"Base Qof p_durable",31,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",31,"31"
"131","El Salvador",2019,1,NA,NA,36,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",36,"36"
"132","El Salvador",2024,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41"
"133","Guatemala",1966,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"134","Guatemala",1970,1,4,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"135","Guatemala",1974,1,0,"Base Qof p_durable",5,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"136","Guatemala",1978,1,4,"Base Qof p_durable",9,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",9,"9"
"137","Guatemala",1982,1,8,"Base Qof p_durable",13,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",13,"13"
"138","Guatemala",1985,2,0,"Base Qof p_durable",16,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",16,"16"
"139","Guatemala",1985,1,0,"Base Qof p_durable",16,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",16,"16"
"140","Guatemala",1991,1,4,"Base Qof p_durable",5,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"141","Guatemala",1991,2,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"142","Guatemala",1995,2,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"143","Guatemala",1995,1,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"144","Guatemala",1999,2,3,"Base Qof p_durable",14,"Base Qof bmr_demdur",14,"Mainwaring & Su (2021) - age_demo",14,"14"
"145","Guatemala",1999,1,3,"Base Qof p_durable",14,"Base Qof bmr_demdur",14,"Mainwaring & Su (2021) - age_demo",14,"14"
"146","Guatemala",2003,2,7,"Base Qof p_durable",18,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",18,"18"
"147","Guatemala",2003,1,7,"Base Qof p_durable",18,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",18,"18"
"148","Guatemala",2007,2,11,"Base Qof p_durable",22,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",22,"22"
"149","Guatemala",2007,1,11,"Base Qof p_durable",22,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",22,"22"
"150","Guatemala",2011,2,15,"Base Qof p_durable",26,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",26,"26"
"151","Guatemala",2011,1,15,"Base Qof p_durable",26,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",26,"26"
"152","Guatemala",2015,2,19,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"153","Guatemala",2015,1,19,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"154","Guatemala",2019,2,NA,NA,34,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",34,"34"
"155","Guatemala",2019,1,NA,NA,34,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",34,"34"
"156","Guatemala",2023,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",38,"38"
"157","Guatemala",2023,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",38,"38"
"158","Honduras",1981,1,0,"Base Qof p_durable",10,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",10,"10"
"159","Honduras",1985,1,3,"Base Qof p_durable",4,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",4,"4"
"160","Honduras",1989,1,7,"Base Qof p_durable",8,"Base Qof bmr_demdur",8,"Mainwaring & Su (2021) - age_demo",8,"8"
"161","Honduras",1993,1,11,"Base Qof p_durable",12,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",12,"12"
"162","Honduras",1997,1,15,"Base Qof p_durable",16,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",16,"16"
"163","Honduras",2001,1,19,"Base Qof p_durable",20,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"164","Honduras",2005,1,23,"Base Qof p_durable",24,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",24,"24"
"165","Honduras",2009,1,27,"Base Qof p_durable",1,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",1,"1"
"166","Honduras",2013,1,31,"Base Qof p_durable",4,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",4,"4"
"167","Honduras",2017,1,35,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"168","Honduras",2021,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"169","Mexico",1982,1,5,"Base Qof p_durable",161,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"170","Mexico",1988,1,0,"Base Qof p_durable",167,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"171","Mexico",1994,1,0,"Base Qof p_durable",173,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"172","Mexico",2000,1,3,"Base Qof p_durable",1,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",1,"1"
"173","Mexico",2006,1,9,"Base Qof p_durable",7,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",7,"7"
"174","Mexico",2012,1,15,"Base Qof p_durable",13,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",13,"13"
"175","Mexico",2018,1,21,"Base Qof p_durable",19,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",19,"19"
"176","Nicaragua",1984,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"177","Nicaragua",1990,1,0,"Base Qof p_durable",7,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",7,"7"
"178","Nicaragua",1996,1,6,"Base Qof p_durable",13,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",13,"13"
"179","Nicaragua",2001,1,11,"Base Qof p_durable",18,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",18,"18"
"180","Nicaragua",2006,1,16,"Base Qof p_durable",23,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",23,"23"
"181","Nicaragua",2011,1,21,"Base Qof p_durable",28,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",28,"28"
"182","Nicaragua",2016,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"183","Panama",1994,1,5,"Base Qof p_durable",4,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",4,"4"
"184","Panama",1999,1,10,"Base Qof p_durable",9,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",9,"9"
"185","Panama",2004,1,15,"Base Qof p_durable",14,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",14,"14"
"186","Panama",2009,1,20,"Base Qof p_durable",19,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",19,"19"
"187","Panama",2014,1,25,"Base Qof p_durable",24,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",24,"24"
"188","Panama",2019,1,NA,NA,29,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",29,"29"
"189","Paraguay",1989,1,0,"Base Qof p_durable",179,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"190","Paraguay",1993,1,1,"Base Qof p_durable",183,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"191","Paraguay",1998,1,6,"Base Qof p_durable",188,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"192","Paraguay",2003,1,11,"Base Qof p_durable",1,"Base Qof bmr_demdur",14,"Mainwaring & Su (2021) - age_demo",1,"1"
"193","Paraguay",2008,1,16,"Base Qof p_durable",6,"Base Qof bmr_demdur",19,"Mainwaring & Su (2021) - age_demo",6,"6"
"194","Paraguay",2013,1,21,"Base Qof p_durable",11,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",11,"11"
"195","Paraguay",2018,1,26,"Base Qof p_durable",16,"Base Qof bmr_demdur",29,"Mainwaring & Su (2021) - age_demo",16,"16"
"196","Paraguay",2023,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",21,"21"
"197","Peru",1980,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"198","Peru",1985,1,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",6,"6"
"199","Peru",1990,2,10,"Base Qof p_durable",1,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",1,"1"
"200","Peru",1990,1,10,"Base Qof p_durable",1,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",1,"1"
"201","Peru",1995,1,2,"Base Qof p_durable",6,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",6,"6"
"202","Peru",2000,2,0,"Base Qof p_durable",11,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",11,"11"
"203","Peru",2000,1,0,"Base Qof p_durable",11,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",11,"11"
"204","Peru",2001,2,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",21,"Mainwaring & Su (2021) - age_demo",1,"1"
"205","Peru",2001,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",21,"Mainwaring & Su (2021) - age_demo",1,"1"
"206","Peru",2006,2,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",6,"6"
"207","Peru",2006,1,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",6,"6"
"208","Peru",2011,2,10,"Base Qof p_durable",11,"Base Qof bmr_demdur",31,"Mainwaring & Su (2021) - age_demo",11,"11"
"209","Peru",2011,1,10,"Base Qof p_durable",11,"Base Qof bmr_demdur",31,"Mainwaring & Su (2021) - age_demo",11,"11"
"210","Peru",2016,2,15,"Base Qof p_durable",16,"Base Qof bmr_demdur",36,"Mainwaring & Su (2021) - age_demo",16,"16"
"211","Peru",2016,1,15,"Base Qof p_durable",16,"Base Qof bmr_demdur",36,"Mainwaring & Su (2021) - age_demo",16,"16"
"212","Peru",2021,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",21,"21"
"213","Peru",2021,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",21,"21"
"214","Republica Dominicana",1978,1,0,"Base Qof p_durable",13,"Base Qof bmr_demdur",NA,NA,13,"13"
"215","Republica Dominicana",1982,1,4,"Base Qof p_durable",17,"Base Qof bmr_demdur",NA,NA,17,"17"
"216","Republica Dominicana",1986,1,8,"Base Qof p_durable",21,"Base Qof bmr_demdur",NA,NA,21,"21"
"217","Republica Dominicana",1990,1,12,"Base Qof p_durable",25,"Base Qof bmr_demdur",NA,NA,25,"25"
"218","Republica Dominicana",1994,1,16,"Base Qof p_durable",29,"Base Qof bmr_demdur",NA,NA,29,"29"
"219","Republica Dominicana",1996,2,0,"Base Qof p_durable",31,"Base Qof bmr_demdur",NA,NA,31,"31"
"220","Republica Dominicana",1996,1,0,"Base Qof p_durable",31,"Base Qof bmr_demdur",NA,NA,31,"31"
"221","Republica Dominicana",2000,1,4,"Base Qof p_durable",35,"Base Qof bmr_demdur",NA,NA,35,"35"
"222","Republica Dominicana",2004,1,8,"Base Qof p_durable",39,"Base Qof bmr_demdur",NA,NA,39,"39"
"223","Republica Dominicana",2008,1,12,"Base Qof p_durable",43,"Base Qof bmr_demdur",NA,NA,43,"43"
"224","Republica Dominicana",2012,1,16,"Base Qof p_durable",47,"Base Qof bmr_demdur",NA,NA,47,"47"
"225","Republica Dominicana",2016,1,20,"Base Qof p_durable",51,"Base Qof bmr_demdur",NA,NA,51,"51"
"226","Republica Dominicana",2020,1,NA,NA,55,"Base Qof bmr_demdur",NA,NA,55,"55"
"227","Uruguay",1984,1,11,"Base Qof p_durable",12,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",12,"12"
"228","Uruguay",1989,1,4,"Base Qof p_durable",5,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"229","Uruguay",1994,1,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"230","Uruguay",1999,2,14,"Base Qof p_durable",15,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",15,"15"
"231","Uruguay",1999,1,14,"Base Qof p_durable",15,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",15,"15"
"232","Uruguay",2004,1,19,"Base Qof p_durable",20,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"233","Uruguay",2009,2,24,"Base Qof p_durable",25,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",25,"25"
"234","Uruguay",2009,1,24,"Base Qof p_durable",25,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",25,"25"
"235","Uruguay",2014,2,29,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"236","Uruguay",2014,1,29,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"237","Uruguay",2019,2,NA,NA,35,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",35,"35"
"238","Uruguay",2019,1,NA,NA,35,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",35,"35"
"239","Venezuela",1958,1,0,"Base Qof p_durable",129,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"240","Venezuela",1963,1,5,"Base Qof p_durable",5,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"241","Venezuela",1968,1,0,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"242","Venezuela",1973,1,4,"Base Qof p_durable",15,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",15,"15"
"243","Venezuela",1978,1,9,"Base Qof p_durable",20,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"244","Venezuela",1983,1,14,"Base Qof p_durable",25,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",25,"25"
"245","Venezuela",1988,1,19,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"246","Venezuela",1993,1,24,"Base Qof p_durable",35,"Base Qof bmr_demdur",35,"Mainwaring & Su (2021) - age_demo",35,"35"
"247","Venezuela",1998,1,29,"Base Qof p_durable",40,"Base Qof bmr_demdur",40,"Mainwaring & Su (2021) - age_demo",40,"40"
"248","Venezuela",2000,1,31,"Base Qof p_durable",42,"Base Qof bmr_demdur",42,"Mainwaring & Su (2021) - age_demo",42,"42"
"249","Venezuela",2006,1,37,"Base Qof p_durable",2,"Base Qof bmr_demdur",48,"Mainwaring & Su (2021) - age_demo",2,"2"
"250","Venezuela",2012,1,3,"Base Qof p_durable",8,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",8,"8"
"251","Venezuela",2013,1,0,"Base Qof p_durable",9,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",9,"9"
"252","Venezuela",2018,1,1,"Base Qof p_durable",14,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",14,"14"
